reviewId,userName,review,score,clean_text,word_count,char_count
96dbea39-d9fc-4edb-b61c-cc28673e9baa,Praveen dhanush,really good,5,really good,2,11
a994b52e-2bef-4e71-a6c3-03faaebe4252,Krishna Vamsi M,unable to login from last month. have to clear all user data and cache and login newly with new pin everytime. new update seems to have fixed this now.,4,unable login last month clear user data cache login newly new pin everytime new update seems fixed,17,98
b59be6ed-c5f3-4185-99f5-f126a8889004,Vivekananda N,"My ticket has been confirmed for the past 10hrs, but the ticket is showing the waiting list till now please fix the bug",1,ticket confirmed past hr ticket showing waiting list till please fix bug,12,72
fe6d315a-51de-411a-8dd9-f6fd860c1b1a,MANGAPATHI RAO A V,"I was trying to book tickets in Visakhapatnam Vande Bharat. I have faced this problem in booking tickets without food option. Umpteen number of times I tried with a check mark for the ""I don't want food or beverages"" option in the ""other preferences"" menu. Yet the fare is showing full as if ""with food"". The option at passenger's name is also changing for ""no food"". Interestingly, if I try to book for a single passenger, the option is taken. For more than one passenger the option is not working.",3,trying book ticket visakhapatnam vande bharat faced problem booking ticket without food option umpteen number time tried check mark dont want food beverage option preference menu yet fare showing full food option passenger name also changing food interestingly try book single passenger option taken one passenger option working,48,328
cac2ecbe-50e4-4a8a-a365-01e3220af34d,Satveer Kalupura,jab jaroorat ho bas tab hi nhi chalta baki sab chnaga si,1,jab jaroorat ho ba tab hi nhi chalta baki sab chnaga si,12,55
4fa8ef99-f066-4cf0-b2b3-3fc2afd8a783,rahul govani,some rules is bad 🤔,1,rule bad,2,8
39fcc0ad-ad48-4628-8f52-a91feb3249b0,Maĺlikarjuna Reddy,"unable to login. It is showing error as user ID or password are wrong. I have been trying several times for the last one month. your help & Suport team not helpful. I am unable to create another user ID also. please check, resolve the issue and help me to book train tickets.",1,unable login showing error user id password wrong trying several time last one month help suport team helpful unable create another user id also please check resolve issue help book train ticket,32,194
6d3cd222-4ad4-49ca-bfa0-980b4e1dd221,Sarvesh Kumar,good,5,good,1,4
7763377d-7cce-4de0-b435-2b6fb4374657,Amit pandey Pandey,good aap,5,good aap,2,8
aea6633a-df55-4236-9403-a8f44316177d,Dr Sanju Gowda,server is too busy,1,server busy,2,11
6c41c959-9a35-41e9-81f5-ec44e614a402,Sonam Yadav,good 👍,5,good,1,4
49823c1f-9e14-49d0-a52f-452880898777,Sonu Ansari,very bad application iam already aadhar authentication but not book tatal ticket everyday payment mode upi and IRCTC e wallet use but not booked for everyday,1,bad application iam already aadhar authentication book tatal ticket everyday payment mode upi irctc e wallet use booked everyday,19,128
3c2bb7ab-560e-44fb-921b-343b2c2e1fb6,sambhaji tambe,"The changed name of Aurangabad station to Chhatrapati Sambhaji Nagar has not been updated on IRCTC yet. Due to this, there is a problem while booking tickets as Aurangabad station is showing as Invalid Station while booking tickets.",4,changed name aurangabad station chhatrapati sambhaji nagar updated irctc yet due problem booking ticket aurangabad station showing invalid station booking ticket,21,161
12fb1e25-144c-4b12-a608-ee2eb58a3f0b,Hareram Choudhary,very bad aap,1,bad aap,2,7
661112e4-2607-4a50-89d8-d2499447837d,Fathima Ahmed,I can't book the ticket in super fast express for going to my native place in the prior 60 days advance period scheme. it went to waiting list. why this is happening even if I have given aadhar card number authentication,1,cant book ticket super fast express going native place prior day advance period scheme went waiting list happening even given aadhar card number authentication,24,159
2cc47f55-8a26-4a4e-bf04-4b969d0bfa19,Prem Yadav,"booking time aap not work proper and ticket are regret, so what we do, very bad aap service",1,booking time aap work proper ticket regret bad aap service,10,58
